SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PONTE VILA FORMOSA (18K/01H),,
,Caudal médio diário (m3/s),FLAG,
07/07/1981 00:00,0,(vco),
08/07/1981 00:00,0,(vco),
09/07/1981 00:00,0,(vco),
10/07/1981 00:00,0,(vco),
11/07/1981 00:00,0,(vco),
12/07/1981 00:00,0,(vco),
13/07/1981 00:00,0,(vco),
14/07/1981 00:00,0,(vco),
15/07/1981 00:00,0,(vco),
16/07/1981 00:00,0,(vco),
17/07/1981 00:00,0,(vco),
18/07/1981 00:00,0,(vco),
19/07/1981 00:00,0,(vco),
20/07/1981 00:00,0,(vco),
21/07/1981 00:00,0,(vco),
22/07/1981 00:00,0,(vco),
23/07/1981 00:00,0,(vco),
24/07/1981 00:00,0,(vco),
25/07/1981 00:00,0,(vco),
26/07/1981 00:00,0,(vco),
27/07/1981 00:00,0,(vco),
28/07/1981 00:00,0,(vco),
29/07/1981 00:00,0,(vco),
30/07/1981 00:00,0,(vco),
31/07/1981 00:00,0,(vco),
01/08/1981 00:00,0,(vco),
02/08/1981 00:00,0,(vco),
03/08/1981 00:00,0,(vco),
04/08/1981 00:00,0,(vco),
05/08/1981 00:00,0,(vco),
06/08/1981 00:00,0,(vco),
07/08/1981 00:00,0,(vco),
08/08/1981 00:00,0,(vco),
09/08/1981 00:00,0,(vco),
10/08/1981 00:00,0,(vco),
11/08/1981 00:00,0,(vco),
12/08/1981 00:00,0,(vco),
13/08/1981 00:00,0,(vco),
14/08/1981 00:00,0,(vco),
15/08/1981 00:00,0,(vco),
16/08/1981 00:00,0,(vco),
17/08/1981 00:00,0,(vco),
18/08/1981 00:00,0,(vco),
19/08/1981 00:00,0,(vco),
20/08/1981 00:00,0,(vco),
21/08/1981 00:00,0,(vco),
22/08/1981 00:00,0,(vco),
23/08/1981 00:00,0,(vco),
24/08/1981 00:00,0,(vco),
25/08/1981 00:00,0,(vco),
26/08/1981 00:00,0,(vco),
27/08/1981 00:00,0,(vco),
28/08/1981 00:00,0,(vco),
29/08/1981 00:00,0,(vco),
30/08/1981 00:00,0,(vco),
31/08/1981 00:00,0,(vco),
01/09/1981 00:00,0,(vco),
02/09/1981 00:00,0,(vco),
03/09/1981 00:00,0,(vco),
04/09/1981 00:00,0,(vco),
05/09/1981 00:00,0,(vco),
06/09/1981 00:00,0,(vco),
07/09/1981 00:00,0,(vco),
08/09/1981 00:00,0,(vco),
09/09/1981 00:00,0,(vco),
10/09/1981 00:00,0,(vco),
11/09/1981 00:00,0,(vco),
12/09/1981 00:00,0,(vco),
13/09/1981 00:00,0,(vco),
14/09/1981 00:00,0,(vco),
15/09/1981 00:00,0,(vco),
16/09/1981 00:00,0,(vco),
17/09/1981 00:00,0,(vco),
18/09/1981 00:00,0,(vco),
19/09/1981 00:00,0,(vco),
20/09/1981 00:00,0,(vco),
21/09/1981 00:00,0,(vco),
22/09/1981 00:00,0,(vco),
23/09/1981 00:00,0,(vco),
24/09/1981 00:00,0,(vco),
25/09/1981 00:00,0,(vco),
26/09/1981 00:00,0,(vco),
27/09/1981 00:00,0,(vco),
28/09/1981 00:00,0,(vco),
29/09/1981 00:00,0,(vco),
30/09/1981 00:00,0,(vco),
01/10/1981 00:00,0.01,(vco),
02/10/1981 00:00,0.01,(vco),
03/10/1981 00:00,0.01,(vco),
04/10/1981 00:00,0.01,(vco),
05/10/1981 00:00,0.01,(vco),
06/10/1981 00:00,0.01,(vco),
07/10/1981 00:00,0.01,(vco),
08/10/1981 00:00,0.01,(vco),
09/10/1981 00:00,0.01,(vco),
10/10/1981 00:00,0.01,(vco),
11/10/1981 00:00,0.01,(vco),
12/10/1981 00:00,0.01,(vco),
13/10/1981 00:00,0.01,(vco),
14/10/1981 00:00,0.01,(vco),
15/10/1981 00:00,0.01,(vco),
16/10/1981 00:00,0.01,(vco),
17/10/1981 00:00,0.01,(vco),
18/10/1981 00:00,0.01,(vco),
19/10/1981 00:00,0.01,(vco),
20/10/1981 00:00,0.01,(vco),
21/10/1981 00:00,0.01,(vco),
22/10/1981 00:00,0.01,(vco),
23/10/1981 00:00,0.01,(vco),
24/10/1981 00:00,0.01,(vco),
